,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,max_num_of_shooting,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value,max_num_of_shooting_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_wide,super_wide,open_year,open_month,camera_type_id
0,LEICA X-U Typ 113,410400.0,1620.0,100.0,12500.0,5.0,30〜1/2000 秒,3.0,92.0,450,False,False,False,,635.0,140.0,79.0,88.0,3.0,8,2,1.7,,　,,35.0,35.0,False,15 m,False,20.0,電子式,,,1.7,False,2016.0,2.0,1
1,EOS 8000D EF-S18-135 IS USM レンズキット,101380.0,2420.0,,2560.0,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,520.0,131.9,100.9,77.8,3.0,4,45,,550.0,　,,,,False,　,False,,　,False,,,False,2016.0,3.0,3
2,サイバーショット DSC-RX100M6,130239,2010,125,2560,24.0,30〜1/32000 秒,3.0,92.1,240 ,True,True,True,チルト液晶,301.0,101.6,58.1,42.8,5.0,1,1,2.8,,　,8,24,200,True,　,False,8.0,光学式,,,4.5,False,2018,6,1
3,FUJIFILM XF10,43600,2424,200,5120,,4〜1/16000 秒,3.0,104.0,330 ,True,True,True,,279.0,112.5,64.4,41.0,3.0,2,2,2.8,,○,,28,28,False,　,False,10.0,　,,,2.8,False,2018,8,1
4,COOLPIX P1000,120342,1605,100,6400,120.0,1〜1/4000 秒,3.2,92.0,250 ,True,True,False,バリアングル液晶,1415.0,146.3,118.8,181.3,6.0,3,3,2.8,,○,125,24,3000,True,　,False,30.0,レンズシフト方式,,1.0,8,False,2018,9,1
5,サイバーショット DSC-RX100M3,56770,2010,125,2560,10.0,1〜1/2000 秒,3.0,122.8,320 ,False,True,False,チルト液晶,290.0,101.6,58.1,41.0,5.0,1,4,1.8,,　,3,24,70,True,　,False,5.0,光学式,,,2.8,False,2014,5,1
6,PowerShot G7 X Mark II,53370,2010,125,12800,8.0,1〜1/2000 秒,3.0,104.0,265 ,False,True,True,チルト液晶,319.0,105.5,60.9,42.2,5.0,4,2,1.8,,　,4,24,100,True,　,False,5.0,光学式,,5.0,2.8,False,2016,4,1
7,PowerShot SX620 HS,17291,2020,80,3200,7.1,1〜1/2000 秒,3.0,92.2,295 ,False,True,False,,182.0,96.9,56.9,27.9,6.0,4,2,3.2,,　,25,25,625,False,　,False,1.0,光学式,,1.0,6.6,False,2016,5,1
8,OLYMPUS Tough TG-5,45300,1200,100,12800,,1/2〜1/2000 秒,3.0,46.0,340 ,True,True,False,,250.0,113.0,66.0,31.9,6.0,5,2,2,,　,4,25,100,False,15 m,True,10.0,CMOSシフト方式,,1.0,4.9,False,2017,6,1
9,サイバーショット DSC-RX100,36780,2020,125,2560,10.0,1〜1/2000 秒,3.0,122.9,330 ,False,False,False,,240.0,101.6,58.1,35.9,5.0,1,2,1.8,,　,4,28,100,False,　,False,5.0,光学式,,,4.9,False,2012,6,1
10,PowerShot SX720 HS,24199,2030,80,3200,5.9,1〜1/3200 秒,3.0,92.2,250 ,False,True,False,,270.0,109.7,63.8,35.7,6.0,4,2,3.3,,　,40,24,960,False,　,False,1.0,光学式,,1.0,6.9,False,2016,3,1
11,COOLPIX A900,27199,2029,80,3200,120.0,1〜1/2000 秒,3.0,92.0,270 ,True,True,False,チルト液晶,299.0,113.0,66.5,39.9,6.0,3,2,3.4,,○,35,24,840,True,　,False,50.0,レンズシフト方式/電子式,,1.0,6.9,False,2016,10,1
12,LUMIX DC-FZ85,33690,1810,80,640,10.0,4〜1/16000 秒,3.0,104.0,330 ,True,True,True,,616.0,130.2,94.3,119.2,6.0,6,6,2.8,,　,60,20,1200,False,　,False,30.0,光学式,,1.0,5.9,False,2017,3,1
13,FUJIFILM X100F,101248,2430,200,5120,8.0,～1/32000 秒,3.0,104.0,280 ,False,True,False,,469.0,126.5,74.8,52.4,3.0,2,7,2,,　,,35,35,False,　,False,10.0,　,,,2,False,2017,2,1
14,LUMIX DMC-TZ85,24800,1810,80,640,40.0,4〜1/16000 秒,3.0,104.0,320 ,True,True,True,,282.0,112.0,64.0,38.0,6.0,6,8,3.3,,　,30,24,720,False,　,False,50.0,光学式,,3.0,6.4,False,2016,2,1
15,サイバーショット DSC-RX10M4,155437,2010,100,2560,24.0,30〜1/32000 秒,3.0,144.0,400 ,True,True,True,チルト液晶,1095.0,132.5,94.0,145.0,5.0,1,5,2.4,,　,25,24,600,False,　,False,3.0,光学式,,,4,False,2017,10,1
16,サイバーショット DSC-RX100M5A,83963,2010,125,2560,24.0,30〜1/32000 秒,3.0,122.8,220 ,True,True,False,チルト液晶,299.0,101.6,58.1,41.0,5.0,1,1,1.8,,　,3,24,70,True,　,False,5.0,光学式,,,2.8,False,2018,7,1
17,LUMIX DMC-TX1,47800,2010,125,2560,60.0,60〜1/16000 秒,3.0,104.0,300 ,True,True,True,,310.0,110.5,64.5,44.3,5.0,6,8,2.8,,　,10,25,250,False,　,False,50.0,光学式,,5.0,5.9,False,2016,3,1
18,PowerShot G9 X Mark II,41700,2010,125,12800,8.1,1〜1/2000 秒,3.0,104.0,235 ,False,True,True,,206.0,98.0,57.9,31.3,5.0,4,2,2,,○,3,28,84,False,　,False,5.0,光学式,,5.0,4.9,False,2017,2,1
19,PowerShot SX730 HS,29900,2030,80,3200,5.9,1〜1/3200 秒,3.0,92.2,250 ,False,True,False,チルト液晶,300.0,110.1,63.8,39.9,6.0,4,2,3.3,,○,40,24,960,True,　,False,1.0,光学式,,1.0,6.9,False,2017,5,1
20,PowerShot SX740 HS,41979,2030,100,3200,,1〜1/3200 秒,3.0,92.2,265 ,True,True,False,チルト液晶,299.0,110.1,63.8,39.9,6.0,4,2,3.3,,○,40,24,960,True,　,False,1.0,光学式,,1.0,6.9,False,2018,8,1
21,COOLPIX W300,27599,1605,125,6400,120.0,1〜1/1500 秒,3.0,92.0,280 ,True,True,False,,231.0,111.5,66.0,29.0,6.0,3,2,2.8,,○,5,24,120,False,30 m,True,50.0,レンズシフト方式/電子式,,1.0,4.9,False,2017,6,1
22,サイバーショット DSC-WX500,33270,1820,80,1280,10.0,1〜1/2000 秒,3.0,92.1,400 ,False,True,False,チルト液晶,236.0,101.6,58.1,35.5,6.0,1,2,3.5,,　,30,24,720,True,　,False,5.0,光学式,,,6.4,False,2015,6,1
23,COOLPIX B500,20769,1602,125,6400,120.0,1〜1/1500 秒,3.0,92.0,600 ,False,True,False,チルト液晶,542.0,113.5,78.3,94.9,6.0,3,2,3,,○,40,22.5,900,False,　,False,30.0,レンズシフト方式,,1.0,6.5,False,2016,5,1
24,COOLPIX A10,6799,1614,80,1600,1.2,1〜1/2000 秒,2.7,23.0,200 ,False,False,False,,160.0,96.4,59.4,28.9,6.0,3,2,3.2,,　,5,26,130,False,　,False,50.0,　,,10.0,6.5,False,2016,1,1
25,COOLPIX P900,47324,1605,100,12800,120.0,1〜1/4000 秒,3.0,92.0,360 ,False,True,False,バリアングル液晶,899.0,139.5,103.2,137.4,6.0,3,9,2.8,,　,83,24,2000,False,　,True,50.0,レンズシフト方式,,1.0,6.5,False,2015,3,1
26,COOLPIX A100,7990,2005,80,3200,1.1,1〜1/2000 秒,2.7,23.0,250 ,False,False,False,,119.0,94.5,58.6,19.8,6.0,3,2,3.2,,　,5,26,130,False,　,False,50.0,　,,10.0,6.5,False,2016,1,1
27,サイバーショット DSC-WX350,21080,1820,80,1280,10.0,1〜1/1600 秒,3.0,46.0,470 ,False,True,False,,164.0,96.0,54.9,25.7,6.0,1,2,3.5,,　,20,25,500,False,　,False,5.0,光学式,,,6.5,False,2014,3,1
28,COOLPIX W100,11540,1317,125,1600,4.7,1〜1/2000 秒,2.7,23.0,220 ,False,True,False,,177.0,109.5,67.0,38.0,5.0,3,2,3.3,,○,3,30,90,False,10 m,False,5.0,　,,5.0,5.9,False,2016,10,1
