id,name
1,電子式ビューファインダー(235.92万ドット)
2,無し
3,0.39型電子ビューファインダー(236万ドット)
4,電子式ビューファインダー（144万ドット）
5,電子式ビューファインダー(235万ドット)
6,0.2型フィールドシーケンシャル方式(117万ドット)
7,ハイブリッドビューファインダー
8,0.2型フィールドシーケンシャル方式(116万ドット)
9,0.2型電子ビューファインダー（92万ドット）
10,0.21型フィールドシーケンシャル方式(233万ドット)
11,電子式ビューファインダー（63.84万ドット）
12,0.39型有機ELライブビューファインダー(144万ドット)
13,電子ビューファインダー(233万ドット)
14,液晶ビューファインダー（92.2万ドット)
15,電子ビューファインダー(236万ドット)
16,電子式ビューファインダー（235.92万ドット）
17,電子式ビューファインダー（20.1万ドット）
18,0.38型フィールドシーケンシャル方式(276万ドット)
19,0.39型有機ELライブビューファインダー(236万ドット)
20,電子ビューファインダー(368万ドット)
21,電子ビューファインダー(276.4万ドット)
22,0.2型電子ビューファインダー(92万ドット)
23,ビューファインダー
24,0.39型有機ELファインダー(236万ドット)
25,LCDビューファインダー
26,カラー電子ビューファインダー
27,電子ビューファインダー XGA OLED Tru-Finder
28,有機ELカラー電子ビューファインダー
29,有機EL(OLED)LVF
30,有機EL電子ビューファインダー
31,電子ビューファインダー OLED Tru-Finder
32,電子ビューファインダー Quad-VGA OLED Tru-Finder
33,アイレベル式OLEDビューファインダー
34,LVF
35,アドバンストハイブリッドマルチビューファインダー
36,Quad-VGA OLED
37,アイレベル式液晶ビューファインダー
38,アイレベル式電子ビューファインダー
39,電子ビューファインダー
40,EyeResファインダー
41,ハイブリッドマルチビューファインダー
42,XGA電子ビューファインダー
43,ペンタプリズム
44,ペンタミラー
45,ペンタダハミラー
46,トラピゾイドプリズム
